2022-10-05 17:14:01,198 INFO     Camera Started
2022-10-05 17:14:09,747 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:09,848 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:09,934 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:10,017 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:10,081 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:10,142 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:10,224 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:10,305 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:10,387 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:10,467 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:10,539 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:10,626 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:10,703 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:10,788 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:10,859 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:10,942 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:11,009 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:11,090 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:11,168 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:11,236 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:11,293 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:11,354 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:11,422 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:11,497 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:11,580 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:11,648 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:11,709 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:11,776 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:11,845 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:11,911 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:11,987 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:12,057 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:12,138 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:12,201 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:12,264 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:12,341 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:12,400 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:12,467 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:12,553 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:12,614 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:12,677 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:12,744 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:12,809 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:12,879 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:12,946 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:13,020 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:13,101 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:13,177 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:13,258 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:13,321 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:13,400 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:13,458 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:13,524 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:13,591 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:13,661 INFO     Eyes Closed. State: {'open': 0, 'lr': 0}
2022-10-05 17:14:13,734 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:13,805 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:13,876 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:13,945 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:14,014 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:14,082 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:14,172 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:14,228 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:14,301 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:14,371 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:14,437 INFO     Eyes Closed. State: {'open': 0, 'lr': 0}
2022-10-05 17:14:14,505 INFO     Eyes Closed. State: {'open': 0, 'lr': 0}
2022-10-05 17:14:14,575 INFO     Eyes Closed. State: {'open': 0, 'lr': 0}
2022-10-05 17:14:14,642 INFO     Eyes Closed. State: {'open': 0, 'lr': 0}
2022-10-05 17:14:14,710 INFO     Eyes Closed. State: {'open': 0, 'lr': 0}
2022-10-05 17:14:14,801 INFO     Eyes Closed. State: {'open': 0, 'lr': 0}
2022-10-05 17:14:14,863 INFO     Eyes Closed. State: {'open': 0, 'lr': 0}
2022-10-05 17:14:14,933 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:15,001 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:15,064 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:15,138 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:15,207 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:15,281 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:15,376 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:15,463 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:15,524 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:15,587 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:15,647 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:15,713 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:15,792 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:15,869 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:15,939 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:16,004 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:16,097 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:16,170 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:16,239 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:16,317 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
2022-10-05 17:14:16,396 INFO     Eyes Open. State: {'open': 1, 'lr': 0}
