Date,Time,Focus,Emotion,Head,Hand
2022-11-08,11:28:37:958,1,0,1,
2022-11-08,11:28:38:074,0,0,0,
2022-11-08,11:28:38:074,1,0,1,
2022-11-08,11:28:38:143,0,0,0,
2022-11-08,11:28:38:143,1,0,1,
2022-11-08,11:28:38:225,1,0,1,
2022-11-08,11:28:38:359,1,0,1,
2022-11-08,11:28:38:425,0,0,0,
2022-11-08,11:28:38:425,1,0,1,
2022-11-08,11:28:38:475,1,0,1,
2022-11-08,11:28:38:575,1,0,1,
2022-11-08,11:28:38:660,0,0,0,
2022-11-08,11:28:38:660,1,0,1,
2022-11-08,11:28:38:731,1,0,1,
2022-11-08,11:28:38:826,1,0,1,
2022-11-08,11:28:38:895,1,0,1,
2022-11-08,11:28:38:976,1,0,1,
2022-11-08,11:28:39:045,1,0,1,
2022-11-08,11:28:39:112,1,0,1,
2022-11-08,11:28:39:192,1,0,1,
2022-11-08,11:28:39:261,1,0,1,
2022-11-08,11:28:39:327,1,0,1,
2022-11-08,11:28:39:377,1,0,1,
2022-11-08,11:28:39:446,1,0,1,
2022-11-08,11:28:39:528,1,0,1,
2022-11-08,11:28:39:595,1,0,1,
2022-11-08,11:28:39:662,1,0,1,
2022-11-08,11:28:39:746,1,0,1,
2022-11-08,11:28:39:813,1,0,1,
2022-11-08,11:28:39:878,1,0,1,
2022-11-08,11:28:39:947,1,0,1,
2022-11-08,11:28:39:997,1,0,1,
2022-11-08,11:28:40:065,1,0,1,
2022-11-08,11:28:40:147,1,0,1,
2022-11-08,11:28:40:213,1,0,1,
2022-11-08,11:28:40:295,1,0,1,
2022-11-08,11:28:40:347,1,0,1,
2022-11-08,11:28:40:418,1,0,1,
2022-11-08,11:28:40:498,1,0,1,
2022-11-08,11:28:40:581,1,0,1,
2022-11-08,11:28:40:649,1,0,1,
2022-11-08,11:28:40:730,1,0,1,
2022-11-08,11:28:40:815,1,0,1,
2022-11-08,11:28:40:865,1,0,1,
2022-11-08,11:28:40:930,0,0,0,
2022-11-08,11:28:40:930,1,0,1,
2022-11-08,11:28:41:015,0,0,0,
2022-11-08,11:28:41:015,1,0,1,
2022-11-08,11:28:41:081,0,0,0,
2022-11-08,11:28:41:081,1,0,1,
2022-11-08,11:28:41:181,1,0,1,
2022-11-08,11:28:41:297,0,0,0,
2022-11-08,11:28:41:297,1,0,1,
2022-11-08,11:28:41:366,0,0,0,
2022-11-08,11:28:41:366,1,0,1,
2022-11-08,11:28:41:450,0,0,0,
2022-11-08,11:28:41:450,1,0,1,
2022-11-08,11:28:41:516,0,0,0,
2022-11-08,11:28:41:516,1,0,1,
2022-11-08,11:28:41:598,0,0,0,
2022-11-08,11:28:41:598,1,0,1,
2022-11-08,11:28:41:682,0,0,0,
2022-11-08,11:28:41:682,1,0,1,
2022-11-08,11:28:41:766,0,0,0,
2022-11-08,11:28:41:766,1,0,1,
2022-11-08,11:28:41:851,0,0,0,
2022-11-08,11:28:41:851,1,0,1,
2022-11-08,11:28:41:932,0,0,0,
2022-11-08,11:28:41:932,1,0,1,
2022-11-08,11:28:42:017,0,0,0,
2022-11-08,11:28:42:017,1,0,1,
2022-11-08,11:28:42:099,0,0,0,
2022-11-08,11:28:42:099,1,0,1,
2022-11-08,11:28:42:183,0,0,0,
2022-11-08,11:28:42:183,1,0,1,
2022-11-08,11:28:42:267,0,0,0,
2022-11-08,11:28:42:267,1,0,1,
2022-11-08,11:28:42:352,0,0,0,
2022-11-08,11:28:42:352,1,0,1,
2022-11-08,11:28:42:434,0,0,0,
2022-11-08,11:28:42:434,1,0,1,
2022-11-08,11:28:42:500,0,0,0,
2022-11-08,11:28:42:500,1,0,1,
2022-11-08,11:28:42:584,0,0,0,
2022-11-08,11:28:42:584,1,0,1,
2022-11-08,11:28:42:668,0,0,0,
2022-11-08,11:28:42:668,1,0,1,
2022-11-08,11:28:42:753,0,0,0,
2022-11-08,11:28:42:753,1,0,1,
2022-11-08,11:28:42:820,0,0,0,
2022-11-08,11:28:42:820,1,0,1,
2022-11-08,11:28:42:902,0,0,0,
2022-11-08,11:28:42:902,1,0,1,
2022-11-08,11:28:42:985,0,0,0,
2022-11-08,11:28:42:985,1,0,1,
2022-11-08,11:28:43:069,0,0,0,
2022-11-08,11:28:43:069,1,0,1,
2022-11-08,11:28:43:135,0,0,0,
2022-11-08,11:28:43:135,1,0,1,
2022-11-08,11:28:43:220,0,0,0,
2022-11-08,11:28:43:220,1,0,1,
2022-11-08,11:28:43:303,0,0,0,
2022-11-08,11:28:43:303,1,0,1,
2022-11-08,11:28:43:401,1,0,1,
2022-11-08,11:28:43:501,0,0,0,
2022-11-08,11:28:43:501,1,0,1,
2022-11-08,11:28:43:554,1,0,1,
2022-11-08,11:28:43:670,1,0,1,
2022-11-08,11:28:43:770,1,0,1,
2022-11-08,11:28:43:821,1,0,1,
2022-11-08,11:28:43:887,1,1,1,
2022-11-08,11:28:43:970,1,1,1,
2022-11-08,11:28:44:055,1,1,1,
2022-11-08,11:28:44:104,1,1,1,
2022-11-08,11:28:44:170,1,1,1,
2022-11-08,11:28:44:253,1,1,1,
2022-11-08,11:28:44:308,1,1,1,
2022-11-08,11:28:44:386,1,1,1,
2022-11-08,11:28:44:436,1,1,1,
2022-11-08,11:28:44:521,1,1,1,
2022-11-08,11:28:44:602,1,1,1,
2022-11-08,11:28:44:671,1,1,1,
2022-11-08,11:28:44:737,1,1,1,
2022-11-08,11:28:44:788,1,1,1,
2022-11-08,11:28:44:856,1,1,1,
2022-11-08,11:28:44:922,1,1,1,
2022-11-08,11:28:44:989,1,1,1,
2022-11-08,11:28:45:074,1,1,1,
2022-11-08,11:28:45:140,1,1,1,
2022-11-08,11:28:45:211,1,1,1,
2022-11-08,11:28:45:272,1,1,1,
2022-11-08,11:28:45:353,1,1,1,
2022-11-08,11:28:45:422,1,1,1,
2022-11-08,11:28:45:488,1,1,1,
2022-11-08,11:28:45:572,1,1,1,
2022-11-08,11:28:45:639,1,1,1,
2022-11-08,11:28:45:707,1,1,1,
2022-11-08,11:28:45:773,1,1,1,
2022-11-08,11:28:45:854,1,1,1,
2022-11-08,11:28:45:910,1,1,1,
2022-11-08,11:28:45:988,1,1,1,
2022-11-08,11:28:46:055,1,1,1,
